tarih,sicaklik,nem
2026-03-26,5.5,83
2026-03-26,7.4,64
2026-03-26,8.8,58
2026-03-26,9.0,59
2026-03-26,5.7,73
2026-03-26,2.8,84
2026-03-27,0.7,92
2026-03-27,0.2,93
2026-03-27,3.5,82
2026-03-27,11.3,57
2026-03-27,14.5,38
2026-03-27,14.8,37
2026-03-27,9.0,66
2026-03-27,5.3,79
2026-03-28,2.8,88
2026-03-28,1.5,90
2026-08-04,25.0,40
2026-08-05,24.0,36
2026-08-26,25.0,32
2026-08-27,26.0,34
2026-08-28,25.0,28
2026-04-15,10.3,56
2026-05-15,15.3,50
2026-06-15,19.5,46
2026-07-15,23.2,38
2026-08-15,23.3,38
2026-09-15,18.8,41
